Maquina,timestamp,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_lb_h,velocidad_chum_lb_h,envolvente_chum_lb_h,desbalance_lado_a,desalineacion_rad_lado_a,soltura_lado_a,rodamiento_chum_lado_a,desalineacion_ang_lado_a,desbalance_lado_b,desalineacion_lado_b,soltura_lado_b,rodamiento_chum_lado_b,corriente_motor_a,corriente_motor_b,temp_chum_lado_a,temp_chum_lado_b
DESFIBRADORA,2025-07-07 23:21:13-05:00,0.343502,2.52036,0.945099,0.255994,2.81166,0.573921,0.141794,1.9874,0.125943,1.2955645,1.1540663,1.6003991,0.2671766,0.6758372,0.76370287,0.07035855,1.2296952,0.059655655,148.0,146.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:21:23-05:00,0.350459,2.27205,0.802058,0.236647,2.27123,0.494064,0.135346,1.7929,0.129758,1.2995182,1.1494654,1.6265864,0.31601837,0.6776928,0.76133764,0.06870792,1.3573188,0.058858316,189.0,185.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:21:33-05:00,0.369938,2.26444,0.966986,0.264554,2.51499,0.580415,0.161029,2.14421,0.142868,1.3034718,1.1448646,1.6527736,0.36486012,0.67954826,0.75897235,0.06705728,1.4849423,0.05806098,149.0,148.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:21:43-05:00,0.372025,2.42928,0.826086,0.262247,2.8085,0.540647,0.130483,1.76655,0.126158,1.3074255,1.1402637,1.6789609,0.4137019,0.6814038,0.7566071,0.06540664,1.6125659,0.057263643,166.0,163.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:21:53-05:00,0.360974,2.51511,0.66881,0.260234,2.60502,0.529699,0.16299,2.21589,0.141256,1.3113791,1.1356628,1.7051482,0.46254367,0.68325937,0.7542418,0.06375601,1.7401893,0.056466307,168.0,166.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:22:03-05:00,0.380212,2.46235,0.973568,0.267667,2.8014,0.560075,0.163581,2.22644,0.114284,1.3153328,1.1310618,1.7313355,0.51138544,0.6851149,0.75187653,0.062105373,1.8678129,0.055668972,147.0,146.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:22:13-05:00,0.357576,2.56052,1.13534,0.254626,2.64082,0.590612,0.164092,2.31077,0.178276,1.3192863,1.1264609,1.7575227,0.5602272,0.6869705,0.7495113,0.060454734,1.9954364,0.054871634,152.0,149.0,51.5,49.0
DESFIBRADORA,2025-07-07 23:22:23-05:00,0.354312,2.30644,0.505327,0.254948,2.55816,0.660702,0.184805,2.48814,0.129275,1.32324,1.12186,1.78371,0.609069,0.688826,0.747146,0.0588041,2.12306,0.0540743,139.0,138.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:22:33-05:00,0.353108,2.4655,0.752505,0.275181,2.99619,0.645031,0.178599,2.44623,0.152432,1.32324,1.12186,1.78371,0.609069,0.688826,0.747146,0.0588041,2.12306,0.0540743,137.0,136.0,51.0,50.0
DESFIBRADORA,2025-07-07 23:22:43-05:00,0.319689,2.34739,0.566492,0.189688,2.47629,0.340467,0.171963,2.44913,0.0904814,1.3170427,1.1250554,1.6979682,0.5607411,0.686775,0.7489285,0.06191028,2.0906653,0.09531309,107.0,108.0,51.0,50.0
DESFIBRADORA,2025-07-07 23:22:53-05:00,0.333121,2.22139,0.75015,0.212094,2.53289,0.415763,0.142116,1.95736,0.108481,1.3108455,1.128251,1.6122266,0.51241326,0.68472403,0.7507109,0.06501646,2.058271,0.13655187,128.0,129.0,51.5,49.0
DESFIBRADORA,2025-07-07 23:23:03-05:00,0.344733,2.63638,0.893834,0.211907,2.67399,0.424511,0.135373,1.89727,0.134755,1.3046482,1.1314464,1.5264848,0.4640854,0.68267304,0.7524934,0.06812265,2.0258763,0.17779067,120.0,119.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:23:13-05:00,0.31003,2.45317,0.653184,0.182443,2.48367,0.394618,0.108132,1.69829,0.0959619,1.298451,1.1346418,1.4407431,0.41575754,0.68062204,0.75427586,0.071228825,1.9934819,0.21902946,104.0,102.0,52.0,49.5
DESFIBRADORA,2025-07-07 23:23:23-05:00,0.330017,2.19672,0.886395,0.198919,2.38916,0.421344,0.131451,1.82189,0.186819,1.2922536,1.1378373,1.3550013,0.36742967,0.67857105,0.7560583,0.07433501,1.9610873,0.26026824,120.0,119.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:23:33-05:00,0.349924,2.22139,0.922838,0.224411,2.39206,0.452472,0.131343,1.82637,0.143674,1.2860564,1.1410327,1.2692597,0.3191018,0.67652,0.75784075,0.07744119,1.9286927,0.30150703,147.0,144.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:23:43-05:00,0.362285,2.51485,0.84535,0.228704,2.54316,0.491917,0.124278,1.70672,0.103699,1.2798591,1.1442282,1.1835179,0.27077395,0.674469,0.75962317,0.08054737,1.8962982,0.3427458,137.0,134.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:23:53-05:00,0.368734,2.48388,0.739126,0.25688,2.67057,0.490737,0.18921,2.55376,0.12331,1.2736619,1.1474236,1.0977762,0.22244608,0.672418,0.76140565,0.083653554,1.8639036,0.38398463,163.0,161.0,51.5,49.0
DESFIBRADORA,2025-07-07 23:24:03-05:00,0.347623,2.57181,0.866221,0.257953,2.93486,0.46503,0.217822,2.95435,0.130779,1.2674645,1.150619,1.0120344,0.17411822,0.670367,0.7631881,0.08675974,1.8315091,0.4252234,160.0,159.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:24:13-05:00,0.354686,2.57916,1.02328,0.259349,3.00041,0.622491,0.220804,3.10536,0.137065,1.2612673,1.1538146,0.9262927,0.12579036,0.668316,0.76497054,0.089865915,1.7991146,0.4664622,141.0,140.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:24:23-05:00,0.349763,2.22218,1.08702,0.226343,2.46577,0.454618,0.141095,1.8949,0.277516,1.25507,1.15701,0.840551,0.0774625,0.666265,0.766753,0.0929721,1.76672,0.507701,112.0,112.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:24:33-05:00,0.339649,2.20459,0.707179,0.207076,2.56132,0.367784,0.163662,2.3084,0.108535,1.25507,1.15701,0.840551,0.0774625,0.666265,0.766753,0.0929721,1.76672,0.507701,120.0,121.0,51.5,50.0
