Fecha,RPM BPC [RPM],Motor LL_502\MLL _X\Velocidad Rms [mm/s],Motor LL_502\MLL _X\Aceleración Rms [g],Motor LA_502\MLA_X\Velocidad Rms [mm/s],Motor LA_502\MLA_X\Aceleración Rms [g],Motor LA_502\MLA_Y\Velocidad Rms [mm/s],Motor LA_502\MLA_Y\Aceleración Rms [g],Motor LA_502\MLA_Z\Velocidad Rms [mm/s],Motor LA_502\MLA_Z\Aceleración Rms [g],Motor LL_502\MLL_Y\Velocidad Rms [mm/s],Motor LL_502\MLL_Y\Aceleración Rms [g]
2026-01-30 04:50:58,1194.82239,0.8475575,0.4493794,0.898601234,1.6306895,0.6914587,1.59746242,0.3628694133636364,0.498965263,0.664114058,0.526388645
2026-01-30 04:50:59,1194.82239,0.816487,0.4532616,0.8922526,1.58631146,0.667609751,1.60411084,0.3620753152727273,0.5041429,0.646816432,0.5298329
2026-01-30 04:51:00,1194.82239,0.879461646,0.451636761,0.920178831,1.5908457,0.7014479,1.57924378,0.36128121718181816,0.511211038,0.700161934,0.5226467
2026-01-30 04:51:01,1195.02075,0.9353473,0.452457875,0.9050301,1.65416956,0.679354668,1.51406419,0.3604871190909091,0.5215587,0.6649963,0.5256957
2026-01-30 04:51:02,1195.02075,0.8292524,0.455285579,0.9188357,1.76245058,0.696434438,1.621759,0.359693021,0.5223275,0.655189037,0.5235867
2026-01-30 04:51:03,1195.4176,0.895615458,0.4500527,0.8960639,1.60404932,0.7040095,1.62076676,0.3809927105,0.5245674,0.6629961,0.513839066
2026-01-30 04:51:04,1195.11987,0.8467727,0.451174021,0.9151415,1.75878739,0.6883528,1.62484634,0.4022924,0.536702335,0.6724296,0.519465744
2026-01-30 04:51:05,1195.21912,0.8734207,0.4441707,0.895661056,1.56658959,0.6897132,1.58896637,0.40094987812,0.496913254,0.652296364,0.5163201
2026-01-30 04:51:06,1195.31836,0.820175648,0.443912745,0.911635756,1.57500684,0.6856865,1.614086,0.39960735624,0.5012424,0.6530961,0.5139692
2026-01-30 04:51:07,1195.51685,0.8562692,0.443045765,0.899375141,1.70291042,0.688765347,1.6558373,0.39826483436,0.503896832,0.6756624,0.51750946
2026-01-30 04:51:08,1195.71533,0.843296,0.450570643,0.915100932,1.62745452,0.7019262,1.61576629,0.39692231248,0.48470068,0.732516348,0.52199024
2026-01-30 04:51:09,1195.914,0.8197358,0.444900453,0.8963678,1.71400785,0.6916277,1.66480923,0.3955797906,0.5140576,0.668763161,0.5216155
2026-01-30 04:51:10,1195.61609,0.847132862,0.445960879,0.9080812,1.61343169,0.696226358,1.646681,0.39423726872,0.5132653,0.62024343,0.516926944
2026-01-30 04:51:11,1196.01331,0.8014963,0.449896127,0.8915505,1.70067334,0.689917445,1.632269,0.39289474684,0.5172242,0.6471602,0.5097071
2026-01-30 04:51:12,1195.914,0.8582372,0.441216558,0.8918437,1.549826,0.675652444,1.65230536,0.39155222496,0.505536556,0.641825,0.5193314
2026-01-30 04:51:13,1196.212,0.82437253,0.438948363,0.9132971,1.645071,0.6784987,1.63846576,0.39020970307999997,0.5023223,0.6358513,0.509358644
2026-01-30 04:51:14,1196.41077,0.824981332,0.434754521,0.881060243,1.67022943,0.6732962,1.66345251,0.38886718119999997,0.512905,0.633621156,0.5034472
2026-01-30 04:51:15,1195.914,0.839539945,0.440495461,0.8989182,1.70656073,0.6744221,1.636923,0.38752465931999996,0.5493595,0.6526544,0.513194442
2026-01-30 04:51:16,1196.51013,0.868644357,0.434467584,0.8875457,1.57729876,0.6861522,1.54591227,0.38618213743999996,0.4958883,0.6687506,0.49642536
2026-01-30 04:51:17,1196.212,0.797360837,0.4331628,0.9051177,1.64761984,0.6861578,1.64402425,0.38483961556,0.509311557,0.6707112,0.504479
2026-01-30 04:51:18,1196.41077,0.8536649,0.435256153,0.8975843,1.61495829,0.7078725,1.56695759,0.38349709368,0.5247776,0.659587443,0.491840631
2026-01-30 04:51:19,1196.3114,0.85433656,0.439143568,0.91075027,1.74733663,0.693538666,1.64513516,0.3821545718,0.530586839,0.6558214,0.5079127
2026-01-30 04:51:20,1196.41077,0.8274226,0.4443125,0.8954942,1.707023,0.6915149,1.60940933,0.38081204992,0.524076939,0.6660483,0.513287
2026-01-30 04:51:21,1196.41077,0.8469614,0.44048366,0.9018125,1.61364222,0.6923753,1.6403116,0.37946952804,0.5097384,0.659795344,0.514135063
2026-01-30 04:51:22,1196.3114,0.8242903,0.437517673,0.907287538,1.729402,0.665504038,1.66784239,0.37812700616,0.5236229,0.6201778,0.5095081
2026-01-30 04:51:23,1196.212,0.820681751,0.439129382,0.8857284,1.721102,0.6785468,1.62622988,0.37678448428,0.525772452,0.6192765,0.5082637
2026-01-30 04:51:24,1196.3114,0.813057,0.436840236,0.89303565,1.75020874,0.682932258,1.63767445,0.3754419624,0.5146425,0.694546,0.514086246
2026-01-30 04:51:25,1196.01331,0.8395372,0.437145174,0.881869,1.52466428,0.674269259,1.57629716,0.37409944052,0.5042197,0.6321982,0.5095444
2026-01-30 04:51:26,1195.8147,0.827835143,0.4440202,0.8973158,1.6800077,0.682464838,1.62548327,0.37275691864,0.5231086,0.664245844,0.5137813
2026-01-30 04:51:27,1195.71533,0.83850944,0.4414582,0.8867614,1.65043092,0.6679114,1.66161454,0.37141439676,0.533734,0.6308298,0.511623263
2026-01-30 04:51:28,1195.51685,0.814510763,0.449435741,0.9115822,1.66553473,0.6900699,1.58246219,0.37007187488,0.5315043,0.6484905,0.516898751
2026-01-30 04:51:29,1195.21912,0.832496643,0.4421102,0.900104046,1.69833529,0.7010188,1.64069128,0.368729353,0.5218979,0.6509852,0.5097149
2026-01-30 04:51:30,1195.21912,0.8625955,0.45101884,0.8923229,1.727466,0.6750434,1.6292274,0.492195,0.5498613,0.650498152,0.5151449
2026-01-30 04:51:31,1195.02075,0.810572863,0.4520936,0.901981831,1.70884752,0.6791111,1.62087381,0.41287903000000004,0.528538764,0.6903838,0.518931568
2026-01-30 04:51:32,1194.82239,0.824831545,0.451546341,0.8905152,1.73187125,0.680977166,1.62849569,0.33356306,0.5286898,0.6089885,0.51496774
2026-01-30 04:51:33,1194.62415,0.8016662,0.450218022,0.906770051,1.62707555,0.6771526,1.65165186,0.422668338,0.512326837,0.657233536,0.5295215
2026-01-30 04:51:34,1194.52515,0.8460397,0.449730039,0.895929039,1.76595843,0.6793223,1.63633442,0.361792773,0.53807,0.5964658,0.520866454
2026-01-30 04:51:35,1194.3269,0.78652215,0.4540412,0.9026245,1.639114,0.696848333,1.62874973,0.378739029,0.511039,0.674030364,0.5306785
2026-01-30 04:51:36,1194.22791,0.8328972,0.452946216,0.892059863,1.58208668,0.6824989,1.62333131,0.365584761,0.504558563,0.659185469,0.527909636
2026-01-30 04:51:37,1194.02991,0.813011467,0.455996662,0.9012449,1.68077874,0.6835914,1.65600514,0.3460805715,0.5211049,0.6678355,0.5273188
2026-01-30 04:51:38,1194.12891,0.8226799,0.457373053,0.8920483,1.67501569,0.684941351,1.644772,0.326576382,0.5422528,0.6299014,0.522129357
2026-01-30 04:51:39,1194.62415,0.8605402,0.4557757,0.8960031,1.6348418,0.6820559,1.65586221,0.3197077,0.5279958,0.5992485,0.530695558
2026-01-30 04:51:40,1194.3269,0.8549004,0.44627592,0.9037063,1.67014182,0.6683337,1.66300535,0.420159,0.5136528,0.624023557,0.5224741
2026-01-30 04:51:41,1194.62415,0.8417739,0.454614043,0.8954215,1.76566088,0.676457465,1.63954616,0.439489,0.513580739,0.634843051,0.51941
2026-01-30 04:51:42,1194.82239,0.8171253,0.457508057,0.917829156,1.66972876,0.701247633,1.61832285,0.43842696800000003,0.5160681,0.630827546,0.5242974
2026-01-30 04:51:43,1195.11987,0.8729803,0.445427418,0.888421357,1.61390913,0.680245161,1.65190673,0.437364936,0.5071457,0.6012702,0.5205742
2026-01-30 04:51:44,1194.82239,0.825893,0.444256783,0.9040885,1.73460186,0.6697619,1.63286769,0.370535672,0.5507364,0.6392077,0.520910859
2026-01-30 04:51:45,1194.62415,0.8268816,0.447765529,0.8945953,1.68068922,0.6923337,1.62193418,0.346576124,0.513295949,0.6252011,0.5278709
2026-01-30 04:51:46,1194.92163,0.8217237,0.453084439,0.921009064,1.64791524,0.7052799,1.62096369,0.35452604249999997,0.514027834,0.6427637,0.5312585
2026-01-30 04:51:47,1195.31836,0.8309383,0.447514147,0.883402646,1.6220088,0.681258559,1.66562009,0.362475961,0.5107979,0.6155366,0.514147
2026-01-30 04:51:48,1195.21912,0.809904039,0.451273382,0.9035093,1.54916453,0.6788394,1.55547285,0.381891817,0.5105704,0.6226506,0.525270939
2026-01-30 04:51:49,1195.11987,0.831410348,0.4587886,0.893509,1.6927321,0.683613956,1.61254275,0.359580338,0.519960046,0.6888784,0.5181745
2026-01-30 04:51:50,1194.92163,0.846655846,0.4509918,0.9182639,1.60299218,0.6858397,1.593524,0.417372584,0.512713134,0.6422237,0.52746886
