Maquina,timestamp_grid,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_ll_h,velocidad_chum_ll_h,envolvente_chum_ll_h,desbalance_la,desalineacion_rad_la,soltura_chum_la,rodamiento_chum_la,desalineacion_ang_la,desbalance_ll,soltura_chum_ll,rodamiento_chum_ll,corriente_picadora,temperatura_lado_der,temperatura_lado_izq
PICADORA,2025-07-14 10:42:01-05:00,0.402098,1.89901,1.97999,0.261027,1.42748,1.19416,0.302516,1.95041,0.694615,0.66774297,0.51176035,1.7384342,1.1118121,0.03290088,0.7884345,1.769175,1.305105,86.0,50.0,52.0
PICADORA,2025-07-14 10:42:11-05:00,0.472159,2.91022,1.91052,0.37249,1.82206,1.08747,0.431513,3.6078,1.08365,0.66821235,0.52158767,1.8268934,1.2272437,0.032390367,0.7871874,1.8055092,1.3510575,119.0,50.0,52.0
PICADORA,2025-07-14 10:42:21-05:00,0.532966,3.38859,1.50727,0.403481,2.50566,0.973271,0.643022,5.50045,2.24586,0.66868174,0.531415,1.9153526,1.3426752,0.03187985,0.7859403,1.8418434,1.39701,177.0,50.0,52.0
PICADORA,2025-07-14 10:42:31-05:00,0.398853,1.91269,2.13304,0.261135,1.41458,1.63051,0.293752,2.12686,0.720748,0.6691512,0.5412423,2.0038118,1.4581068,0.031369332,0.78469324,1.8781775,1.4429624,78.0,50.0,52.0
PICADORA,2025-07-14 10:42:41-05:00,0.385361,1.82586,1.79653,0.24804,1.43564,1.33433,0.291117,2.144,0.662245,0.66962063,0.5510697,2.0922709,1.5735384,0.030858817,0.78344613,1.9145117,1.488915,87.0,50.0,52.0
PICADORA,2025-07-14 10:42:51-05:00,0.407865,2.009,1.80533,0.266635,1.45354,1.17001,0.337226,2.38058,0.676763,0.67009,0.560897,2.18073,1.68897,0.0303483,0.7821991,1.9508458,1.5348675,90.0,50.0,52.0
PICADORA,2025-07-14 10:43:01-05:00,0.473178,3.14914,1.81756,0.347482,1.94315,1.20188,0.504131,4.18752,1.26163,0.68098396,0.55028594,2.1038635,1.5831082,0.029896608,0.780952,1.98718,1.58082,163.0,50.0,52.0
PICADORA,2025-07-14 10:43:11-05:00,0.43332,2.13557,1.61671,0.290624,1.61253,0.995972,0.399035,2.58156,0.867167,0.69187784,0.5396748,2.0269969,1.4772463,0.029444916,0.7769268,1.9875467,1.5506558,126.0,50.0,52.0
PICADORA,2025-07-14 10:43:21-05:00,0.456387,2.95864,1.51859,0.344289,1.93104,1.33406,0.454178,3.56665,1.07263,0.7027718,0.52906376,1.9501301,1.3713845,0.028993225,0.77290165,1.9879134,1.5204916,116.0,50.0,52.0
PICADORA,2025-07-14 10:43:31-05:00,0.413176,2.00216,1.87227,0.277744,1.62517,1.07577,0.375833,2.35711,0.910291,0.71366566,0.51845264,1.8732634,1.2655226,0.028541533,0.7688765,1.98828,1.4903275,107.0,50.0,52.0
PICADORA,2025-07-14 10:43:41-05:00,0.438175,2.13083,1.96009,0.335676,1.8418,1.41606,0.398767,2.72345,0.89373,0.7245596,0.5078416,1.7963967,1.1596608,0.028089842,0.76485133,1.9886466,1.4601634,119.0,50.0,52.0
PICADORA,2025-07-14 10:43:51-05:00,0.464649,3.15046,1.53452,0.339083,1.97816,1.52264,0.459851,3.28497,1.03251,0.7354535,0.4972305,1.7195301,1.053799,0.027638149,0.7608262,1.9890133,1.4299991,131.0,50.0,52.0
PICADORA,2025-07-14 10:44:01-05:00,0.440723,2.04347,1.71965,0.325855,1.7631,1.03965,0.368735,2.27851,0.780004,0.7463474,0.4866194,1.6426634,0.94793713,0.027186457,0.756801,1.98938,1.399835,107.0,50.0,52.0
PICADORA,2025-07-14 10:44:11-05:00,0.40183,1.78139,1.82523,0.244686,1.49619,1.12321,0.335209,1.96729,0.738976,0.75724137,0.47600833,1.5657967,0.84207535,0.026734766,0.7527758,1.9897467,1.3696709,89.0,50.0,52.0
