Fecha,RPM_BPC-501\RPM [RPM],Motor LL_501\MLL - X\Velocidad Rms [mm/s],Motor LL_501\MLL - X\Aceleración Rms [g],Motor LA_501\MLA - X\Velocidad Rms [mm/s],Motor LA_501\MLA - X\Aceleración Rms [g],Motor LA_501\MLA - Y\Velocidad Rms [mm/s],Motor LA_501\MLA - Y\Aceleración Rms [g],Motor LA_501\MLA - Z\Velocidad Rms [mm/s],Motor LA_501\MLA - Z\Aceleración Rms [g],Motor LL_502\MLL _X\Velocidad Rms [mm/s],Motor LL_502\MLL _X\Aceleración Rms [g],Motor LA_502\MLA_X\Velocidad Rms [mm/s],Motor LA_502\MLA_X\Aceleración Rms [g],Motor LA_502\MLA_Y\Velocidad Rms [mm/s],Motor LA_502\MLA_Y\Aceleración Rms [g],Motor LA_502\MLA_Z\Velocidad Rms [mm/s],Motor LA_502\MLA_Z\Aceleración Rms [g],Motor LL_502\MLL_Y\Velocidad Rms [mm/s],Motor LL_502\MLL_Y\Aceleración Rms [g],Motor LL_501\MLL - Y\Velocidad Rms [mm/s],Motor LL_501\MLL - Y\Aceleración Rms [g]
2026-01-30 05:27:05,1194.92163,1.26635659,1.02788484,0.970930755,2.07850862,0.914463,2.5526197,0.544567645,1.7566793,0.8268763,0.460802346,0.8948511,1.73817062,0.6987354,1.65370083,20.8563385,0.5715697,0.6132189,0.527391732,2.14485168,0.891996861
2026-01-30 05:27:06,1194.426,1.32591891,1.0274018,0.9721379,2.03075624,0.9078241,2.50100923,0.6245781,1.69153214,0.8203926,0.465225816,0.8857519,1.75258267,0.709711254,1.61934674,9.907453,0.533830464,0.6207569,0.5333128,2.17154026,0.8817944
2026-01-30 05:27:07,1194.426,1.28596389,1.02405345,0.962891,2.03687263,0.9287041,2.59445786,0.617581367,1.780026,0.801448047,0.464640945,0.915009737,1.71290565,0.7127206,1.64965773,14.9408464,0.5555201,0.6623597,0.5419688,2.17650247,0.898401141
2026-01-30 05:27:08,1194.3269,1.274638,1.020144,0.954847,2.04343081,0.89235276,2.61011147,0.582029343,1.731232,0.8729426,0.468111068,0.899097741,1.74840009,0.7208436,1.73361015,16.4482,0.5884105,0.665831745,0.528712034,2.106585,0.877160847
2026-01-30 05:27:09,1194.12891,1.314753,1.01922858,0.9640746,2.114285,0.909066,2.68246317,0.551097035,1.75585,0.8313664,0.462317467,0.908985,1.64973366,0.6801354,1.65198755,14.8796015,0.5608557,0.6966265,0.541570067,2.14153385,0.872993231
2026-01-30 05:27:10,1194.22791,1.25882733,1.010563,0.9556905,1.99148381,0.91629976,2.62933421,0.5332693,1.75192237,0.8418305,0.465326369,0.87391907,1.62995982,0.710657358,1.6316303,4.70964146,0.5369596,0.6227757,0.5331147,2.15055251,0.864321947
2026-01-30 05:27:11,1194.3269,1.301927,1.01879025,0.944655657,2.19223,0.8694175,2.6833353,0.582293153,1.77522969,0.8239769,0.470391959,0.909658551,1.76973784,0.70264703,1.62710619,28.8753147,0.5992512,0.692076743,0.538850963,2.16091514,0.888099849
2026-01-30 05:27:13,1194.72327,1.31931078,1.01708484,0.956288159,2.097869,0.881751657,2.56762838,0.5822776,1.78913879,0.859720767,0.4659944,0.8979448,1.72254467,0.6845321,1.63294315,1.88256073,0.54528445,0.674251735,0.542498231,2.12718034,0.881323934
2026-01-30 05:27:14,1194.82239,1.26843429,1.01974547,0.950887442,2.00698519,0.941073,2.50171423,0.53540206,1.77177107,0.8479724,0.461729527,0.892957449,1.72675776,0.7175402,1.651714,1.261237,0.5561792,0.646704853,0.5268176,2.15952826,0.8928673
2026-01-30 05:27:15,1194.92163,1.30503893,1.02466393,0.9540535,2.04109716,0.882194161,2.56961679,0.5698594,1.72874486,0.830093443,0.465673029,0.8923173,1.72518635,0.693984747,1.66897154,25.2070141,0.576929331,0.643095553,0.5411352,2.16168547,0.892501652
2026-01-30 05:27:16,1194.72327,1.274217,1.02370381,0.970433533,2.05391645,0.90457195,2.643052,0.5507156,1.746804,0.8168449,0.462421477,0.9119375,1.8018229,0.7014184,1.70740378,3.08215523,0.5436776,0.616652668,0.529080451,2.18753529,0.890224636
2026-01-30 05:27:17,1194.62415,1.26858115,1.02580428,0.9637482,1.990279,0.916838646,2.55267835,0.5874049,1.742454,0.8592119,0.4649834,0.8984132,1.79235351,0.7006161,1.64184666,4.10772562,0.5567249,0.6690233,0.5468906,2.13326716,0.8820005
2026-01-30 05:27:18,1195.21912,1.27746189,1.02842724,0.963108,2.1273315,0.88981694,2.62486625,0.613164544,1.701772,0.795079648,0.4678751,0.8954849,1.83368587,0.7146313,1.72677374,2.34281135,0.5783299,0.6644974,0.5388275,2.170424,0.8899067
